Name,Description,Gene Coef,Gene+TTN Coef,Predicted Count,Actual Count,Total TA Sites,#Sites with 0 counts,Prev States,Used in Model,Gene Adj Pval,Gene+TTN Adj Pval
dnaA,chromosomal replication initiation protein ,,,107.60059691984509,5.6625,1,24,Uncertain,False,,
igr,igr,0.026318134127308514,-0.050335138425518455,109.27324218929185,120.03564806054872,10108,948,Uncertain,True,1.9075390161259898,13.463329015847034
dnaN,DNA polymerase III subunit beta ,,,,0.05161290322580645,0,28,Uncertain,False,,
recF,recombination protein F ,-0.5231401317396758,-0.5366679783811258,22.35552079483062,32.58285714285714,35,4,Uncertain,True,3.4659472700920193,7.550028621205188
-,hypothetical protein Rv0004 ,-1.0393979645673865,-0.8517854248048279,29.623688093533172,53.962500000000006,8,5,Uncertain,True,3.1359212948364936,4.334431875288616
gyrB,DNA gyrase subunit B ,,,74.09296701500585,5.841860465116278,3,40,Uncertain,False,,
gyrA,DNA gyrase subunit A ,,,103.39552196747911,2.7891304347826082,2,40,Uncertain,False,,
-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,0.5291961117472782,0.4652225295536862,136.4180188857063,188.0181818181818,11,0,Uncertain,True,1.185980822534139,1.8780613320806971
-,POSSIBLE MEMBRANE PROTEIN ,-0.07706141689653548,0.21464309850521732,60.80612532623816,94.225,4,0,Uncertain,True,0.04667304253723019,0.26080491178790427
ppiA,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) ,0.1861453567460156,0.2623585990939809,103.4475186794227,156.77142857142854,7,1,Uncertain,True,0.17817259863386523,0.5046703409971484
-,PROBABLE CONSERVED MEMBRANE PROTEIN ,-0.013840375570642233,-0.013250705145497284,80.79789114851256,108.03999999999999,10,1,Uncertain,True,0.012640563072459312,0.018069755427038127
-,putative septation inhibitor protein ,-0.8155367924676773,-1.174029101217268,84.82394068434456,10.4,3,0,Uncertain,True,0.8162453968462707,3.129800196116008
-,PROBABLE CONSERVED MEMBRANE PROTEIN ,0.16439564931675646,0.10160050249233551,138.6264605486793,153.82352941176472,17,0,Uncertain,True,0.2691705373471036,0.25332355353413544
trpG,para-aminobenzoate synthase component II ,,,71.22781236061222,0.4642857142857143,2,13,Uncertain,False,,
pknB,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) ,,,2.8858292294508674,7.9,1,21,Uncertain,False,,
pknA,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) ,,,11.410579765889132,4.5125,3,12,Uncertain,False,,
pbpA,PROBABLE PENICILLIN-BINDING PROTEIN PBPA ,-0.4470131149339706,-0.34103278441526974,20.871337698644457,30.855555555555554,35,2,Uncertain,True,2.55111664619858,3.0847620747956808
rodA,PROBABLE CELL DIVISION PROTEIN RODA ,0.06397273829004085,-0.003040115515851816,75.60334906146048,89.0777777777778,27,0,Uncertain,True,0.11220573651149124,0.006105424967468716
ppp,POSSIBLE SERINE/THREONINE PHOSPHATASE PPP ,0.0567552015474487,-0.029877775765981024,68.96068906655154,46.708,14,10,Uncertain,True,0.06754469136483454,0.051629494938146885
-,hypothetical protein Rv0019c ,0.11534813670870837,-0.1797158504348219,68.02065387560323,57.02307692307693,12,0,Uncertain,True,0.13581165291611352,0.43611598037871463
TB39.8,hypothetical protein Rv0020c ,,,139.27115671500965,20.417307692307695,9,41,Uncertain,False,,
-,hypothetical protein Rv0021c ,0.38606445890762764,0.46454954469367155,123.64276076916633,173.41739130434783,23,0,Uncertain,True,1.2944056425962855,3.7262354703379663
whiB5,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 ,0.1962572910870488,0.22135322458154763,109.9387594154519,163.0125,8,0,Uncertain,True,0.20735545026170596,0.439405788654593
-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ,-1.5499360777871223,-1.455854199641684,9.808203175203133,1.2333333333333336,12,3,Uncertain,True,10.594659943481705,19.088185899908673
-,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN ,-0.008474165084631224,0.14784766391945595,48.81598142015019,92.36923076923077,13,0,Uncertain,True,0.008917860793519623,0.3532631484978494
-,hypothetical protein Rv0025 ,0.23141326547808527,0.3401754329457672,98.76541186484182,85.275,8,0,Uncertain,True,0.2571968951584483,0.8317819996982223
-,hypothetical protein Rv0026 ,0.04505402172512761,-0.06213226663790781,178.64009634485052,119.72,15,2,Uncertain,True,0.05335289159981317,0.12627886132298738
-,hypothetical protein Rv0027 ,-0.1165591862583814,-0.22592285126126177,142.20973269538536,49.72,5,0,Uncertain,True,0.08467859792392042,0.3284528641443657
-,hypothetical protein Rv0028 ,0.19029111666448595,0.056189962705512596,86.97760264994876,170.89999999999998,5,0,Uncertain,True,0.1477171989605748,0.057802328468431585
-,hypothetical protein Rv0029 ,0.1744749113523334,0.19675584572197424,87.37695678024257,131.67894736842103,19,0,Uncertain,True,0.31520379003532323,0.698583335581599
-,hypothetical protein Rv0030 ,-0.0189211505383672,-0.028889813192252745,117.7657093762089,92.78,5,0,Uncertain,True,0.012469177703664543,0.028811685574773368
-,POSSIBLE REMNANT OF A TRANSPOSASE ,-0.5540815044872904,0.3987827959664346,13.190859145549808,10.6,1,0,Uncertain,True,0.20685403697467464,0.23829073951754845
bioF2,POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) ,-0.1718446419600331,-0.3036427912921639,119.6845849129884,119.325,56,9,Uncertain,True,0.693128512022446,3.852585866849748
acpA,PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) ,0.6486834663110523,0.3533545151313986,230.7769342230487,201.22499999999997,4,0,Uncertain,True,0.7041633199840058,0.516900122352304
-,hypothetical protein Rv0034 ,0.2361849081920737,0.33582909643183073,95.882136393299,139.83999999999997,5,0,Uncertain,True,0.19555177988067643,0.566579112413458
fadD34,PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) ,0.2790989980077327,0.2881072883333053,129.19324709822203,172.93600000000004,25,1,Uncertain,True,0.7989327143477599,1.6619361413569675
-,hypothetical protein Rv0036c ,0.503206066266384,0.4289689272303342,107.89625745064279,155.3,4,0,Uncertain,True,0.47030108310788266,0.6993309724500862
-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,0.22474634937146787,0.2865321457800739,147.9332709311195,178.9190476190476,21,1,Uncertain,True,0.4860043945440895,1.4117035566900196
-,hypothetical protein Rv0038 ,0.48510846006400826,0.14060458398779063,193.0588011828054,190.93750000000003,8,0,Uncertain,True,0.7744993078265155,0.23683842273964836
-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,0.22190798464054765,0.2650862201046583,69.02296816422063,126.625,4,0,Uncertain,True,0.15509075477151033,0.35104019416491217
mtc28,SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) ,0.354155009908446,0.3273682860849858,143.051802833842,156.32,10,0,Uncertain,True,0.5531099969544213,0.9426607781680839
leuS,leucyl-tRNA synthetase ,,,153.22635295738814,3.0589041095890415,1,70,Uncertain,False,,
-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) ,0.12403324181813553,-0.047735214220240234,37.87408827605214,65.96000000000001,5,0,Uncertain,True,0.09054397315607117,0.049398199331924394
-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) ,0.08874016257311806,0.04110438072287996,71.8664733817517,85.27272727272727,11,0,Uncertain,True,0.09709224788415197,0.06365763980233931
